mc_run_id,grouping,mean_watscar,mean_watuse,sd_watscar,sd_watuse,n_participants,sex,diet_group,age_group,diet_sex_group,outliers
8,vegan_female_20-29,12630.40527,406.1628234,6461.142153,179.598374,487,female,vegan,20-29,vegan_female,0
8,vegan_female_30-39,12809.6128,412.6131039,5806.518923,171.1827325,376,female,vegan,30-39,vegan_female,0
8,vegan_female_40-49,13834.78035,416.6313991,9052.568359,203.2802282,219,female,vegan,40-49,vegan_female,0
8,vegan_female_50-59,14860.29063,441.5314629,9146.061784,201.9817874,106,female,vegan,50-59,vegan_female,0
8,vegan_female_60-69,15375.21665,452.653454,9703.303407,219.0530796,81,female,vegan,60-69,vegan_female,0
8,vegan_female_70-79,15060.35363,444.6424853,7363.141984,297.7179697,25,female,vegan,70-79,vegan_female,0
8,vegan_male_20-29,14931.18243,467.9231097,7291.216195,201.4987582,198,male,vegan,20-29,vegan_male,0
8,vegan_male_30-39,14467.83247,422.873978,8328.62741,203.7386684,251,male,vegan,30-39,vegan_male,0
8,vegan_male_40-49,13637.57102,404.9206837,7035.34554,173.7592157,165,male,vegan,40-49,vegan_male,0
8,vegan_male_50-59,13595.81952,414.6979118,5346.883878,163.0180195,62,male,vegan,50-59,vegan_male,0
8,vegan_male_60-69,16371.99255,439.0358044,11793.12717,221.7919146,52,male,vegan,60-69,vegan_male,0
8,vegan_male_70-79,14675.13595,394.8046419,7548.927217,186.5609137,19,male,vegan,70-79,vegan_male,0
8,veggie_female_20-29,15181.93402,553.450329,5959.875483,190.2836815,3752,female,veggie,20-29,veggie_female,0
8,veggie_female_30-39,15284.57709,547.4653883,6260.379465,190.8213708,3634,female,veggie,30-39,veggie_female,0
8,veggie_female_40-49,15358.21715,541.198237,6492.35477,188.7686921,2696,female,veggie,40-49,veggie_female,0
8,veggie_female_50-59,16130.66877,548.6443723,7065.110595,198.3582115,1203,female,veggie,50-59,veggie_female,0
8,veggie_female_60-69,16738.10109,552.9144978,7603.293628,203.4936784,536,female,veggie,60-69,veggie_female,0
8,veggie_female_70-79,17148.80832,554.9378291,7518.020055,192.9849391,289,female,veggie,70-79,veggie_female,0
8,veggie_male_20-29,16887.6257,611.3268316,7240.556657,223.9988931,646,male,veggie,20-29,veggie_male,0
8,veggie_male_30-39,16419.29142,590.6441454,6839.240074,213.8576339,1221,male,veggie,30-39,veggie_male,0
8,veggie_male_40-49,15937.83137,561.4231403,6596.157009,211.4422714,961,male,veggie,40-49,veggie_male,0
8,veggie_male_50-59,15785.97337,559.4070727,6268.21554,209.9931702,426,male,veggie,50-59,veggie_male,0
8,veggie_male_60-69,16443.94278,569.1093724,7164.622777,211.0535857,229,male,veggie,60-69,veggie_male,0
8,veggie_male_70-79,17714.35637,599.1178434,10344.09509,270.0481685,158,male,veggie,70-79,veggie_male,0
9,vegan_female_20-29,10803.41564,390.9323427,4887.586013,211.1607091,487,female,vegan,20-29,vegan_female,0
9,vegan_female_30-39,11293.16579,412.6015096,4919.333858,203.7626018,376,female,vegan,30-39,vegan_female,0
9,vegan_female_40-49,12361.22345,457.1595017,6421.490777,272.9969473,219,female,vegan,40-49,vegan_female,0
9,vegan_female_50-59,12238.8136,447.9296965,5919.081863,266.0789736,106,female,vegan,50-59,vegan_female,0
9,vegan_female_60-69,12975.38588,476.7566026,6441.277007,301.6423393,81,female,vegan,60-69,vegan_female,0
9,vegan_female_70-79,12883.04677,487.3997649,6033.249251,240.7780855,25,female,vegan,70-79,vegan_female,0
9,vegan_male_20-29,12295.00339,451.463836,5598.592953,212.9942916,198,male,vegan,20-29,vegan_male,0
